week_start,total_units,mean_units_per_series,active_series
2013-09-09,205861,17.5036986650795,11761
2013-09-16,175998,14.906242059795037,11807
2013-09-23,167505,14.152162892869212,11836
2013-09-30,185631,15.639986519504593,11869
2013-10-07,189043,15.911371096709031,11881
2013-10-14,172473,14.493529411764706,11900
2013-10-21,156815,13.156724557429314,11919
2013-10-28,172131,14.41271037427782,11943
2013-11-04,179290,14.998326919859462,11954
2013-11-11,173072,14.469693169467435,11961
2013-11-18,151625,12.66285284783698,11974
2013-11-25,140623,11.743048016701461,11975
2013-12-02,184812,15.403567261210203,11998
2013-12-09,175580,14.581845361680923,12041
2013-12-16,161055,13.345624792840571,12068
2013-12-23,137601,11.378566112627139,12093
2013-12-30,178139,14.66647455952577,12146
2014-01-06,184549,15.146831910702561,12184
2014-01-13,171872,14.06711409395973,12218
2014-01-20,154627,12.603064634444536,12269
2014-01-27,158115,12.838177979863593,12316
2014-02-03,180856,14.609903869456337,12379
2014-02-10,179607,14.433220829315333,12444
2014-02-17,159473,12.774190964434476,12484
2014-02-24,160250,12.783184428844926,12536
2014-03-03,178314,14.15639885677993,12596
2014-03-10,185766,14.700166178681648,12637
2014-03-17,161595,12.740066225165563,12684
2014-03-24,158687,12.475393081761005,12720
2014-03-31,183665,14.414142206874901,12742
2014-04-07,191354,14.965900203347411,12786
2014-04-14,187865,14.61415791520809,12855
2014-04-21,165589,12.848308504034762,12888
2014-04-28,174654,13.526486988847584,12912
2014-05-05,176795,13.658451792336217,12944
2014-05-12,180086,13.891237272446777,12964
2014-05-19,157666,12.14029414029414,12987
2014-05-26,158756,12.196051317507875,13017
2014-06-02,190457,14.575418994413408,13067
2014-06-09,192639,14.65938665246176,13141
2014-06-16,177631,13.477314112291351,13180
2014-06-23,159756,12.08624602814344,13218
2014-06-30,197078,14.883921153991391,13241
2014-07-07,198740,14.98567335243553,13262
2014-07-14,178522,13.428764856326163,13294
2014-07-21,165008,12.395432692307692,13312
2014-07-28,178772,13.410246793188808,13331
2014-08-04,188000,14.090840953380303,13342
2014-08-11,189325,14.1667913798264,13364
2014-08-18,177806,13.289931982958368,13379
2014-08-25,164149,12.238965105875335,13412
2014-09-01,190838,14.182372175980975,13456
2014-09-08,188250,13.964097618871003,13481
2014-09-15,169705,12.569809643730094,13501
2014-09-22,160625,11.885822110404025,13514
2014-09-29,180688,13.35659373151981,13528
2014-10-06,182711,13.444518027961736,13590
2014-10-13,170274,12.521067725568056,13599
2014-10-20,152870,11.223935389133628,13620
2014-10-27,159938,11.729099442651805,13636
2014-11-03,178606,13.088524109629196,13646
2014-11-10,173225,12.688617052446528,13652
2014-11-17,154787,11.33389470601157,13657
2014-11-24,148379,10.851971037811746,13673
2014-12-01,169126,12.355786090005845,13688
2014-12-08,166073,12.112391510466049,13711
2014-12-15,159424,11.604600378512156,13738
2014-12-22,129811,9.433938953488372,13760
2014-12-29,161394,11.702849684576899,13791
2015-01-05,178043,12.884860327109568,13818
2015-01-12,172396,12.435692130130564,13863
2015-01-19,154850,11.135481087300446,13906
2015-01-26,158785,11.394689630426983,13935
2015-02-02,186691,13.379989966315488,13953
2015-02-09,183405,13.141659501289768,13956
2015-02-16,153988,11.029868920564429,13961
2015-02-23,149304,10.693596905887409,13962
2015-03-02,173559,12.420137398024904,13974
2015-03-09,173788,12.427631578947368,13984
2015-03-16,157071,11.228981984558192,13988
2015-03-23,151487,10.822819175537616,13997
2015-03-30,173450,12.386631436120831,14003
2015-04-06,174171,12.437232219365896,14004
2015-04-13,166242,11.866799914340781,14009
2015-04-20,156479,11.168296338591107,14011
2015-04-27,170596,12.172386728505174,14015
2015-05-04,175994,12.544119743406984,14030
2015-05-11,171391,12.213425497042685,14033
2015-05-18,150530,10.629148425363649,14162
2015-05-25,152872,10.743692459062478,14229
2015-06-01,187633,13.170000701902154,14247
2015-06-08,192488,13.504139188999579,14254
2015-06-15,179213,12.571939670291126,14255
2015-06-22,162650,11.410031567870922,14255
2015-06-29,183195,12.846774193548388,14260
2015-07-06,196107,13.749351468835448,14263
2015-07-13,189667,13.295969155275149,14265
2015-07-20,170179,11.927319876647042,14268
2015-07-27,177095,12.405954465849387,14275
2015-08-03,198895,13.932123844214065,14276
2015-08-10,190083,13.313931498213911,14277
2015-08-17,170866,11.961218060903045,14285
2015-08-24,163579,11.44789698369375,14289
2015-08-31,182777,12.786079048618397,14295
2015-09-07,199434,13.948384389425094,14298
2015-09-14,184838,12.92392672353517,14302
2015-09-21,174899,12.218736900936147,14314
2015-09-28,185259,12.93437129093067,14323
2015-10-05,200451,13.993089005235602,14325
2015-10-12,188906,13.182554082344732,14330
2015-10-19,170327,11.877754532775453,14340
2015-10-26,165798,11.561118471515236,14341
2015-11-02,177296,12.355121951219513,14350
2015-11-09,178766,12.456692913385826,14351
2015-11-16,163600,11.39990244582259,14351
2015-11-23,150214,10.466415830546266,14352
2015-11-30,172158,11.99289446185998,14355
2015-12-07,171224,11.927830024381748,14355
2015-12-14,172620,12.025078369905955,14355
2015-12-21,140943,9.812922091485065,14363
2015-12-28,166308,11.578918053331476,14363
2016-01-04,188614,13.131936225022628,14363
2016-01-11,192196,13.379463974939089,14365
2016-01-18,177317,12.3419642235679,14367
2016-01-25,171099,11.908337973273943,14368
2016-02-01,196176,13.653674832962139,14368
2016-02-08,207012,14.405845511482255,14370
2016-02-15,198657,13.824425887265136,14370
2016-02-22,178807,12.443075852470425,14370
2016-02-29,199561,13.887334725121782,14370
2016-03-07,202687,14.104871259568545,14370
2016-03-14,193108,13.438274182324287,14370
2016-03-21,195565,13.609255393180236,14370
2016-03-28,189164,13.163813500347947,14370
2016-04-04,211390,14.710508002783577,14370
2016-04-11,201045,13.990605427974948,14370
2016-04-18,189333,13.175574112734864,14370
2016-04-25,191019,13.292901878914405,14370
2016-05-02,213122,14.831036882393876,14370
2016-05-09,225812,15.714126652748782,14370
2016-05-16,202535,14.09429366736256,14370
